town,address,property_type,bedrooms,bathrooms,parking,land_area_m2,sold_price_aud,sold_date
Blacktown,"15 Siebel Street, Blacktown",House,3,1,1,550.1,920000.0,2025-08-13
Blacktown,"26 Ellerston Glade, Blacktown",House,4,2,1,565.4,1035000.0,2025-08-14
Blacktown,"23/25-27 Fourth Avenue, Blacktown",Unit,2,1,1,112.0,440000.0,2025-08-15
Blacktown,"307/9-11 Swinson Road, Blacktown",Unit,2,2,1,85.0,585000.0,2025-08-15
Blacktown,"402/31 Carinya Street, Blacktown",Unit,2,2,1,98.0,441000.0,2025-08-15
Blacktown,"44/19 Third Avenue, Blacktown",Apartment,2,1,1,155.0,4000000.0,2025-08-15
Blacktown,"120 Richmond Road, Blacktown",House,3,1,1,570.0,3125000.0,2025-08-17
Blacktown,"2 Allen Road, Blacktown",House,3,1,2,619.7,930000.0,2025-08-17
Blacktown,"5 Hilltop Avenue, Blacktown",House,4,2,2,568.0,970000.0,2025-08-17
Blacktown,"56 Rutherford Street, Blacktown",House,4,1,2,645.0,1131000.0,2025-08-17
Blacktown,"48a/177a Reservoir Road, Blacktown",Townhouse,3,2,2,3610.0,1968000.0,2025-08-18
Blacktown,"113/21-29 Third Avenue, Blacktown",Apartment,1,2,1,155.0,2620000.0,2025-08-19
Blacktown,"15 Joseph Street, Blacktown",House,3,1,2,594.0,612000.0,2025-08-19
Blacktown,"42a/177a Reservoir Road, Blacktown",Townhouse,2,1,1,3610.0,335000.0,2025-08-19
Blacktown,"1/45A Turner Street, Blacktown",Duplex/semi-detached,3,1,1,215.0,830000.0,2025-08-20
Blacktown,"303/43 Devitt Street, Blacktown",Apartment,1,1,1,155.0,397000.0,2025-08-20
Blacktown,"48/7 Griffiths Street, Blacktown",Unit,2,1,1,98.0,3910000.0,2025-08-20
Blacktown,"11 Finlay Street, Blacktown",House,3,1,2,556.0,1085000.0,2025-08-21
Blacktown,"16 Derwent Parade, Blacktown",House,3,1,1,556.4,966000.0,2025-08-21
Blacktown,"8/32 Bedford Road, Blacktown",Duplex/semi-detached,4,2,2,215.0,965000.0,2025-08-21
Blacktown,"9/28 Patrick Street, Blacktown",Apartment,2,2,1,226.0,2880000.0,2025-08-22
Blacktown,"21 Tallawong Avenue, Blacktown",House,3,1,4,657.0,995000.0,2025-08-23
Blacktown,"22 & 22A Robyn Street, Blacktown",House,5,2,2,556.0,1282111.0,2025-08-23
Blacktown,"37 Burke Street, Blacktown",House,5,2,4,601.0,1225000.0,2025-08-23
Blacktown,"406/5 Second Avenue, Blacktown",Apartment,2,2,1,155.0,5250000.0,2025-08-23
Blacktown,"5 Sullivan Street, Blacktown",House,4,1,3,562.8,505000.0,2025-08-23
Blacktown,"59/31-35 Third Avenue, Blacktown",Apartment,2,1,1,155.0,4200000.0,2025-08-25
Blacktown,"81-81a Douglas Road, Blacktown",House,4,2,4,556.0,790000.0,2025-08-25
Blacktown,"11 Tara Road, Blacktown",House,3,1,1,607.0,422000.0,2025-08-26
Blacktown,"4/5 Griffiths Street, Blacktown",Apartment,2,1,1,84.0,4000000.0,2025-08-26
Blacktown,"61/130 Reservoir Road, Blacktown",Townhouse,3,1,1,7063.0,2150000.0,2025-09-20
Blacktown,"94A Douglas Road, Blacktown",House,4,2,2,301.8,2970000.0,2025-09-21
Blacktown,"21/11 Oxford Street, Blacktown",Unit,2,1,1,98.0,1048000.0,2025-09-22
Blacktown,"38 Monash Road, Blacktown",House,4,2,2,612.0,707000.0,2025-09-22
Blacktown,"309 Bungarribee Road, Blacktown",House,3,2,2,556.0,2500000.0,2025-09-23
Blacktown,"34/8-14 Oxford Street, Blacktown",Apartment,2,2,1,155.0,1195000.0,2025-09-24
Blacktown,"260 Bungarribee Road, Blacktown",House,5,2,5,834.7,1081000.0,2025-09-25
Blacktown,"65 Buckley Avenue, Blacktown",House,3,2,2,565.4,990000.0,2025-09-25
Blacktown,"24 Cut Glade, Blacktown",Townhouse,2,2,1,157.0,785000.0,2025-09-26
Blacktown,"3/25 Mantaka street, Blacktown",Apartment,2,1,1,155.0,1750000.0,2025-09-26
Blacktown,"54 Reservoir Road, Blacktown",House,4,1,2,565.4,1500000.0,2025-09-26
Blacktown,"7/35 Doonside Crescent, Blacktown",Villa,3,2,2,2455.0,405000.0,2025-09-26
Blacktown,"46/7 Griffiths Street, Blacktown",Apartment,2,1,1,155.0,9025786.0,2025-09-27
Blacktown,"69 Doonside Crescent, Blacktown",House,3,1,3,452.0,365000.0,2025-09-27
Blacktown,"11 Caldwell Place, Blacktown",House,3,2,2,556.4,2700000.0,2026-08-29
Castle Hill,"10/35-37 Parsonage Road, Castle Hill",Townhouse,3,2,2,4925.0,1250000.0,2025-08-13
Castle Hill,"319/21- 23 Dawes Avenue, Castle Hill",Apartment,2,2,2,146.0,1048000.0,2025-08-14
Castle Hill,"25 Bordeaux Crescent, Castle Hill",House,4,2,3,851.9,1970000.0,2025-08-15
Castle Hill,"403/25 Dawes Avenue, Castle Hill",Apartment,1,1,2,146.0,590000.0,2025-08-15
Castle Hill,"50 Kerrs Road, Castle Hill",House,4,2,2,696.0,1910000.0,2025-08-15
Castle Hill,"94 Cecil Avenue, Castle Hill",House,3,3,2,851.9,1420000.0,2025-08-15
Castle Hill,"625/21-23 Dawes Avenue, Castle Hill",Apartment,2,2,1,146.0,3225000.0,2025-08-16
Castle Hill,"9 Squire Place, Castle Hill",House,4,2,3,1256.0,2550000.0,2025-08-16
Castle Hill,"5 Condino Way, Castle Hill",House,3,2,2,851.9,1400000.0,2025-08-17
Castle Hill,"15 Bordeaux Crescent, Castle Hill",House,4,2,3,607.8,2300000.0,2025-08-18
Castle Hill,"16 Mowbray Close, Castle Hill",House,4,2,2,851.9,2120000.0,2025-08-18
Castle Hill,"16/5 Sherwin Avenue, Castle Hill",Apartment,1,1,2,146.0,530000.0,2025-08-19
Castle Hill,"510/33 Dawes Avenue, Castle Hill",Apartment,2,2,1,89.0,400000.0,2025-08-20
Castle Hill,"101A Kings Road, Castle Hill",Duplex/semi-detached,3,2,1,375.0,1085000.0,2025-08-21
Castle Hill,"185 Old Northern Road, Castle Hill",House,4,2,2,1069.0,1660000.0,2025-08-21
Castle Hill,"50 Bordeaux Crescent, Castle Hill",House,5,3,4,651.0,2527000.0,2025-08-21
Castle Hill,"1/26 Oakhill Drive, Castle Hill",Duplex/semi-detached,3,2,1,466.0,1448800.0,2025-08-22
Castle Hill,"5 Cansdale Place, Castle Hill",House,5,3,5,1071.0,1781000.0,2025-08-22
Castle Hill,"9 Peppertree Place, Castle Hill",House,6,3,3,503.0,2710000.0,2025-08-22
Castle Hill,"19/9 Garthowen Crescent, Castle Hill",Apartment,3,2,2,146.0,1195000.0,2025-08-23
Castle Hill,"55/16-20 Mercer Street, Castle Hill",Apartment,3,2,2,500.0,1465000.0,2025-08-23
Castle Hill,"8 Murrumba Place, Castle Hill",House,4,3,2,860.0,2135000.0,2025-08-25
Castle Hill,"95 Showground Road, Castle Hill",House,4,2,4,1062.0,2050000.0,2025-08-25
Castle Hill,"20/5 Sherwin Avenue, Castle Hill",Apartment,3,2,2,146.0,920000.0,2025-09-19
Castle Hill,"65 Castle Street, Castle Hill",House,4,2,2,650.4,1130000.0,2025-09-19
Castle Hill,"1/12 Gindurra Avenue, Castle Hill",Duplex/semi-detached,3,2,2,348.4,1350000.0,2025-09-20
Castle Hill,"3/2-8 Susan Parade, Castle Hill",Townhouse,2,2,2,4925.0,775000.0,2025-09-20
Castle Hill,"4 Broadoak Place, Castle Hill",House,4,3,2,679.0,1680000.0,2025-09-20
Castle Hill,"5 Bennett Place, Castle Hill",House,4,2,2,1120.0,2620000.0,2025-09-20
Castle Hill,"8 White Cedar Drive, Castle Hill",House,5,3,2,930.0,2900000.0,2025-09-20
Castle Hill,"20 Somerset Way, Castle Hill",House,4,2,2,640.0,2410000.0,2025-09-22
Castle Hill,"3 Kingussie Avenue, Castle Hill",House,5,3,4,843.8,1185000.0,2025-09-22
Castle Hill,"618/21- 23 Dawes Avenue, Castle Hill",Apartment,1,1,2,146.0,400000.0,2025-09-22
Castle Hill,"61/73 Crane Road, Castle Hill",Townhouse,3,2,2,4925.0,1100000.0,2025-09-23
Castle Hill,"4/42-44 Castle Street Street, Castle Hill",Townhouse,3,2,1,4925.0,965000.0,2025-09-24
Castle Hill,"2/1-3 Sherwin Avenue, Castle Hill",Unit,2,2,2,89.0,930000.0,2025-09-25
Castle Hill,"5 Telfer Road, Castle Hill",House,3,1,2,695.0,1557000.0,2025-09-25
Castle Hill,"11/1 Cheriton Avenue, Castle Hill",Apartment,3,2,2,146.0,875000.0,2025-09-26
Castle Hill,"12 Damsel Court, Castle Hill",House,4,2,2,754.0,1800000.0,2025-09-26
Castle Hill,"2 Yinnell Place, Castle Hill",House,5,3,4,966.0,2573000.0,2025-09-26
Castle Hill,"27 First Farm Drive, Castle Hill",House,4,3,3,923.0,2180000.0,2025-09-26
Castle Hill,"32 Pioneer Place, Castle Hill",House,8,10,7,2000.0,3800000.0,2025-09-26
Castle Hill,"35 Purser Avenue, Castle Hill",Duplex/semi-detached,5,5,2,375.0,2800000.0,2025-09-26
Castle Hill,"7/32-36 Castle Street, Castle Hill",Townhouse,2,1,1,4925.0,935000.0,2025-09-27
Castle Hill,"307/11 Fishburn Crescent, Castle Hill",Unit,2,2,1,89.0,2560000.0,2026-08-31
Coogee,"2 Hamilton Street, Coogee",House,5,3,1,533.0,2960500.0,2025-08-09
Coogee,"34/14-24 Kidman Street, Coogee",Apartment,3,2,1,80.0,1841000.0,2025-08-09
Coogee,"6/155-157 Arden Street, Coogee",Apartment,3,2,2,80.0,2650000.0,2025-08-11
Coogee,"11/4-6 Major Street, Coogee",Apartment,2,1,1,80.0,1905000.0,2025-08-12
Coogee,"14/23 Baden Street, Coogee",Apartment,2,1,1,80.0,2390000.0,2025-08-12
Coogee,"4/117-119 Dolphin Street, Coogee",Apartment,3,1,1,80.0,2650000.0,2025-08-12
Coogee,"3/136 Coogee Bay Road, Coogee",Apartment,2,1,1,80.0,1220000.0,2025-08-15
Coogee,"8 Abbott Street, Coogee",House,3,1,1,323.0,2850000.0,2025-08-15
Coogee,"4/5-7 Moira Crescent, Coogee",Apartment,1,1,1,80.0,766000.0,2025-08-18
Coogee,"6/18-20 Alexander st, Coogee",Apartment,2,1,1,845.42,1012000.0,2025-08-18
Coogee,"284 Alison Road, Coogee",House,3,2,1,404.0,938000.0,2025-08-19
Coogee,"10 Byron Street, Coogee",House,4,2,3,468.5,2830000.0,2025-08-22
Coogee,"2/125 Mount Street, Coogee",Apartment,1,1,1,70.0,1095000.0,2025-08-23
Coogee,"305 Alison Road, Coogee",House,4,2,1,607.0,1535000.0,2025-08-23
Coogee,"906/56 Carr Street, Coogee",Apartment,3,2,2,80.0,3580000.0,2025-08-24
Coogee,"1 & 2/58 Arcadia Street, Coogee",Apartment,5,3,2,80.0,2355000.0,2025-08-25
Coogee,"3/58 Arcadia Street, Coogee",Apartment,3,1,1,80.0,1100000.0,2025-08-25
Coogee,"5/20 Arcadia Street, Coogee",Apartment,2,1,1,80.0,1100000.0,2025-08-26
Coogee,"6/96 Coogee Bay Road, Coogee",Unit,2,1,1,80.0,1040000.0,2025-09-23
Coogee,"7/184 Arden Street, Coogee",Apartment,2,1,1,80.0,1190000.0,2025-09-23
Coogee,"3/144 Beach Street, Coogee",Apartment,3,1,1,80.0,2018888.0,2025-09-24
Coogee,"4/185 Carrington Road, Coogee",Apartment,2,1,1,80.0,485000.0,2025-09-24
Coogee,"5/16 Carr Street, Coogee",Apartment,2,1,1,80.0,1414000.0,2025-09-24
Coogee,"1/5 Moore Street, Coogee",Apartment,1,1,1,80.0,2300000.0,2025-09-25
Coogee,"2/24-26 Bay Street, Coogee",Apartment,2,1,1,80.0,940000.0,2025-09-26
Coogee,"9/3-5 Hill Street, Coogee",Unit,2,1,1,80.0,1277500.0,2025-09-26
